id;nombre;codigo;propiedades;propiedades_content_type;tipo_lista_id
1;Assistant;Refin;../fake-data/blob/hipster.png;image/png;1
2;Dobra Soft;e-ser;../fake-data/blob/hipster.png;image/png;2
3;override Concrete Kentucky;pink;../fake-data/blob/hipster.png;image/png;3
4;Computer seize interface;plum ;../fake-data/blob/hipster.png;image/png;4
5;violet;front;../fake-data/blob/hipster.png;image/png;5
6;Home Loan Account solid state explicit;expli;../fake-data/blob/hipster.png;image/png;6
7;Thailand bi-directional Producer;Cotto;../fake-data/blob/hipster.png;image/png;7
8;invoice scalable;trans;../fake-data/blob/hipster.png;image/png;8
9;blue calculate access;Meado;../fake-data/blob/hipster.png;image/png;9
10;Legacy Fantastic payment;neutr;../fake-data/blob/hipster.png;image/png;10
