id;nombre;descripcion;precio_compra;precio_venta;estado
1;budgetary management;cyan ivory;81998;32882;AGOTADO
2;gold Gorgeous online;Facilitator Rubber;4650;13828;INACTIVO
3;frictionless;Buckinghamshire Future Lithuanian Litas;16177;54007;INACTIVO
4;Accounts virtual Small;Iraqi Dinar Gibraltar;16908;53648;INACTIVO
5;Uzbekistan Sum microchip Soft;Won;26383;27860;ACTIVO
6;Iowa application;synthesizing Sleek Plastic Computer;49294;36847;AGOTADO
7;Via;B2B Utah;36079;54847;ACTIVO
8;Movies neural Tunisian Dinar;Global Tasty Analyst;70490;90042;AGOTADO
9;payment Hat;optimize Rwanda Franc;70562;95011;AGOTADO
10;Michigan Savings Account deposit;Markets Car;6476;15519;ACTIVO
